Dental Services Pricelist for Government sector (Article 11),,,,,,,,,,,
Admitted / Non admitted,SBSCode,SBS code -Hyphenated ,Short Description,Long Description,Block ,Block Description ,Chapter ,Chapter Description ,Department/ Specialty,Price,
Admitted,477650012,47765-00-12,"Open rdctn fx zyg bone W/ ex fix, each addtnl site, bil","Open reduction of fracture of zygomatic bone with external fixation, each additional site, bilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,80000,
Admitted,477650101,47765-01-01,"Open rdctn fx zyg bone W/ IF, 1 site, uni","Open reduction of fracture of zygomatic bone with internal fixation, 1 site, unilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,13000,
Admitted,477650111,47765-01-11,"Open rdctn fx zyg bone W/ IF, each addtnl site, uni","Open reduction of fracture of zygomatic bone with internal fixation, each additional site, unilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,70000,
Admitted,477650102,47765-01-02,"Open rdctn fx zyg bone W/ IF, 1 site, bil","Open reduction of fracture of zygomatic bone with internal fixation, 1 site, bilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,70000,
Admitted,477650112,47765-01-12,"Open rdctn fx zyg bone W/ IF, each addtnl site, bil","Open reduction of fracture of zygomatic bone with internal fixation, each additional site, bilateral",1368,Reduction of fracture of zygomatic bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,80000,
Admitted,470000001,47000-00-01,"Close rdctn disloc of TMJ, uni","Closed reduction of dislocation of temporomandibular joint, unilateral",1369,Reduction of temporomandibular joint,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,600,
Admitted,470000002,47000-00-02,"Close rdctn disloc of TMJ, bil","Closed reduction of dislocation of temporomandibular joint, bilateral",1369,Reduction of temporomandibular joint,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,1000,
Admitted,532030001,53203-00-01,"Open rdctn disloc TMJ, uni","Open reduction of dislocation of temporomandibular joint, unilateral",1369,Reduction of temporomandibular joint,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,30000,
Admitted,532030002,53203-00-02,"Open rdctn disloc TMJ, bil","Open reduction of dislocation of temporomandibular joint, bilateral",1369,Reduction of temporomandibular joint,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,30000,
Admitted,396090210,39609-02-10,ORIF Depressed Frontal Sinus Fx.,Open reduction and internal fixation of depressed Frontal sinus fracture,25,Procedures for skull fracture,1,Procedures on nervous system ,Oral and maxillofacial surgery ,8000,
Admitted,905300310,90530-03-10,Open rdctn w fix of multiple facial bone fx,Open reduction with fixation of multiple facial bone fractures,1370,Reduction of fracture or dislocation of other facial bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,80000,
Admitted,905300200,90530-02-00,"Closed rdctn fx facial bone, NEC","Closed reduction of fracture of facial bone(s), not elsewhere classified",1370,Reduction of fracture or dislocation of other facial bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,905300300,90530-03-00,Open rdctn fx facial bone NEC,"Open reduction of fracture of facial bone(s), not elsewhere classified",1370,Reduction of fracture or dislocation of other facial bone,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,12000,
Non-admitted,479480000,47948-00-00,R/O external fix system,Removal of external fixation system,1554,"Other application, insertion or removal procedures on other musculoskeletal sites",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,50000,
Admitted,521020001,52102-00-01,"R/O pin/screw/wire maxilla/mandible/zygo, uni","Removal of pin, screw or wire from maxilla, mandible or zygoma, unilateral",1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,6000,
Admitted,521020002,52102-00-02,"R/O pin/screw/wire maxilla/mandible/zygo, bil","Removal of pin, screw or wire from maxilla, mandible or zygoma, bilateral",1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,2000,
Admitted,458230000,45823-00-00,R/O arch bars frm maxilla or mandible,Removal of arch bars from maxilla or mandible,1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,1000,
Admitted,458650010,45865-00-10,Non-arthroscopic lysis and lavage,Non-arthroscopic lysis and lavage,1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,458550000,45855-00-00,Diagnostic arthroscopy of TMJ W/ or W/O bx,"Diagnostic arthroscopy of the temporomandibular joint, with or without biopsy",1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,458570000,45857-00-00,Arthroscopy TMJ W/ removal of loose body,Arthroscopy of temporomandibular joint with removal of loose body,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,15000,
Admitted,458550010,45855-00-10,Arthroscopic lysis and lavage of TMJ,Arthroscopic lysis and lavage of temporomandibular joint,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,15000,
Admitted,458550020,45855-00-20,Arthroscopic repositioning and stabilization of TMJ disc,Arthroscopic repositioning and stabilization of temporomandibular joint disc,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,15000,
Admitted,458550030,45855-00-30,Arthroscopic synovectomy of TMJ,Arthroscopic synovectomy of temporomandibular joint,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,15000,
Admitted,458550040,45855-00-40,Arthroscopic discectomy of TMJ,Arthroscopic discectomy of temporomandibular joint,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,15000,
Admitted,458550050,45855-00-50,TMJ discectomy,Temporomandibular joint discectomy,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,40000,
Admitted,458570200,45857-02-00,Arthroscopic div adhesions of TMJ,Arthroscopic division of adhesions of temporomandibular joint,1363,Other incision procedures on maxilla or mandible,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,7000,
Admitted,458610000,45861-00-00,TMJ arthrotomy,Temporomandibular joint arthrotomy,1362,Exploration of temporomandibular joint,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,458650000,45865-00-00,TMJ arthrocentesis,Temporomandibular joint arthrocentesis,1360,"Application, insertion or removal procedures of head",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,458670000,45867-00-00,Synovectomy of the TMJ joint,Synovectomy of the temporomandibular joint,1364,"Excision procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,40000,
Admitted,458630000,45863-00-00,Expl TMJ w condylectomy / condylotomy,Exploration of temporomandibular joint with condylectomy or condylotomy,1362,Exploration of temporomandibular joint,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,458690000,45869-00-00,Expl TMJ w meniscus / capsular surgery,Exploration of the temporomandibular joint with meniscus or capsular surgery,1362,Exploration of temporomandibular joint,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,40000,
Admitted,458710000,45871-00-00,Expl TMJ w meniscus /capsl / condylar,"Exploration of the temporomandibular joint with meniscus, capsular and condylar surgery",1362,Exploration of temporomandibular joint,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,40000,
Admitted,458730000,45873-00-00,"Expl TMJ usg tis flap, cart gft, allogft","Exploration of the temporomandibular joint with meniscus, capsular and condylar surgery using tissue flaps, cartilage graft or allograft implants",1362,Exploration of temporomandibular joint,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted,457550001,45755-00-01,"Meniscectomy TMJ, uni","Meniscectomy of temporomandibular joint, separate procedure (unilateral)",1699,Resection of mandible,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,30000,
Admitted,457550002,45755-00-02,"Meniscectomy TMJ, bil","Meniscectomy of temporomandibular joint, separate procedure (bilateral)",1699,Resection of mandible,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,50000,
Admitted,457580000,45758-00-00,TMJ arthroplasty,Temporomandibular joint arthroplasty,1712,Other repair of skull or facial bone,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,5000,
Admitted,501150010,50115-00-10,TMJ Manipulation,Temporomandibular Manipulation,1905,Therapeutic interventions on musculoskeletal system,19,"Non-invasive, cognitive and other interventions, not elsewhere classified**   ",Oral and maxillofacial surgery ,1000,
Admitted,905680010,90568-00-10,TMJ Myotomy ( Dental),Temporomandibular Myotomy done by a dentist,1559,Incision procedures on other musculoskeletal sites,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,2500,
Non-admitted,458750000,45875-00-00,Stabilisation of TMJ,Stabilisation of temporomandibular joint,1371,"Repair procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,2000,
Admitted,458770000,45877-00-00,Arthrodesis of TMJ,Arthrodesis of temporomandibular joint,1371,"Repair procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,5000,
Admitted/non-admitted ,458750010,45875-00-10,"TMD therapy, by report","Temporomandibular Disorder therapy, by report",1371,"Repair procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,700,
Admitted,450510000,45051-00-00,Facial contour reconstruction with implant (includes Chin augmentation involving soft tissue with implant),Facial contour reconstruction with implant (includes Chin augmentation involving soft tissue with implant),1682,Contour reconstruction,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,13000,
Admitted,457610100,45761-01-00,Augmentation genioplasty (Chin augmentation involving soft tissue and bone),Augmentation genioplasty (Chin augmentation involving soft tissue and bone),1702,Genioplasty,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,13000,
Admitted,457610000,45761-00-00,Reduction genioplasty,Reduction genioplasty,1702,Genioplasty,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,6000,
Admitted,456770000,45677-00-00,"Primary repair of cleft lip, uni","Primary repair of cleft lip, unilateral",1689,Procedures for cleft lip,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,2000,
Admitted,456830000,45683-00-00,"Primary repair of cleft lip, bil","Primary repair of cleft lip, bilateral",1689,Procedures for cleft lip,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,5000,
Admitted,456890000,45689-00-00,"Lip adhesion proc for cleft lip, uni","Lip adhesion procedure for cleft lip, unilateral",1689,Procedures for cleft lip,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,4000,
Admitted,456890100,45689-01-00,"Lip adhesion proc for cleft lip, bil","Lip adhesion procedure for cleft lip, bilateral",1689,Procedures for cleft lip,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,50000,
Admitted,456920000,45692-00-00,Partial revision of cleft lip,Partial revision of cleft lip,1689,Procedures for cleft lip,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,4000,
Admitted,456950000,45695-00-00,Total revision of cleft lip,Total revision of cleft lip,1689,Procedures for cleft lip,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,5000,
Admitted,456980000,45698-00-00,"Prim columella lengthening, cleft lip",Primary columella lengthening procedure for cleft lip,1689,Procedures for cleft lip,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,2000,
Admitted,457010000,45701-00-00,Recon cleft lip usg flap sgl / first stg,"Reconstruction of cleft lip using flap, single or first stage",1689,Procedures for cleft lip,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,1000,
Admitted,457040000,45704-00-00,Recon cleft lip usg flp second stg,"Reconstruction of cleft lip using flap, second stage",1689,Procedures for cleft lip,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,7000,
Admitted,457070000,45707-00-00,Primary repair of cleft palate,Primary repair of cleft palate,1690,Procedures for cleft palate,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,10000,
Admitted,457100000,45710-00-00,"Sec rep cleft palate, cls fist usg flap","Secondary repair of cleft palate, closure of fistula using local flap",1690,Procedures for cleft palate,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,13000,
Admitted,457130000,45713-00-00,"Sec repair cleft palate, lengthen proc","Secondary repair of cleft palate, lengthening procedure",1690,Procedures for cleft palate,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,4000,
Admitted,523370000,52337-00-00,Repair of alveolar cleft,Repair of alveolar cleft,1690,Procedures for cleft palate,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,8000,
Non-admitted,458490010,45849-00-10,Sinus augmentation; lateral approach,Sinus augmentation via lateral approach,388,Other repair procedures on nasal sinuses,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,5000,
Non-admitted,458490020,45849-00-20,Sinus augmentation; vertical approach,Sinus augmentation via vertical approach,388,Other repair procedures on nasal sinuses,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,5000,
Non-admitted,458490030,45849-00-30,Sinus augmentation; crestal approach,Sinus augmentation via crestal approach,388,Other repair procedures on nasal sinuses,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,5000,
Non-admitted,417220011,41722-00-11,"Sinus perforation repair, uni","Sinus perforation repair, unilateral",388,Other repair procedures on nasal sinuses,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,3000,
Non-admitted,417220012,41722-00-12,"Sinus perforation repair, bil","Sinus perforation repair, bilateral",388,Other repair procedures on nasal sinuses,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,3000,
Non-admitted,417220001,41722-00-01,"Closure of oro-antral fistula, uni","Closure of oro-antral fistula, unilateral",388,Other repair procedures on nasal sinuses,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,3000,
Non-admitted,417220002,41722-00-02,"Closure of oro-antral fistula, bil","Closure of oro-antral fistula, bilateral",388,Other repair procedures on nasal sinuses,5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,3000,
Admitted,901420200,90142-02-00,Cleft uvules correction,Cleft uvules correction,406,"Other repair procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,2000,
Admitted,393240010,39324-00-10,Transection/avul; infraorbital nerve,Transection/avulsion of infraorbital nerve,82,Other neurectomy,1,Procedures on nervous system ,Oral and maxillofacial surgery ,3000,
Admitted,393240020,39324-00-20,Transection/avul; mental nerve,Transection/avulsion of mental nerve,82,Other neurectomy,1,Procedures on nervous system ,Oral and maxillofacial surgery ,3000,
Admitted,393240030,39324-00-30,Transection/avul; inf. Alv. Nerve (osteotomy),Transection/avulsion of inferior alveolar nerve (osteotomy),82,Other neurectomy,1,Procedures on nervous system ,Oral and maxillofacial surgery ,3000,
Admitted,393000010,39300-00-10,Lingual nerve suture,Lingual nerve suture,83,Repair of nerve or nerve trunk,1,Procedures on nervous system ,Oral and maxillofacial surgery ,1500,
Admitted,393000020,39300-00-20,Inferior alveolar nerve suture,Inferior alveolar nerve suture,83,Repair of nerve or nerve trunk,1,Procedures on nervous system ,Oral and maxillofacial surgery ,1500,
Non-admitted,900160010,90016-00-10,Diagnostic blocks,Diagnostic blocks,86,Other procedures on nerves,1,Procedures on nervous system ,Oral and maxillofacial surgery ,100,
Admitted,900160110,90016-01-10,Microdissection and/or microrepair of nerve,Microdissection and/or microrepair of nerve,86,Other procedures on nerves,1,Procedures on nervous system ,Oral and maxillofacial surgery ,3000,
Admitted/non-admitted ,973950000,97395-00-00,Suture nrv trunk in conjtn w dental proc; per nerve trunk,Suture of nerve trunk in conjunction with dental procedure; per nerve trunk,461,Other dental surgical procedure,6,Dental services ,Oral and maxillofacial surgery ,500,
Admitted/non-admitted ,973890100,97389-01-00,Surg to isolate & preserve neurovasc tissue,Surgery to isolate and preserve neurovascular tissue,461,Other dental surgical procedure,6,Dental services ,Oral and maxillofacial surgery ,6000,
Non-admitted,183600110,"18360-01-10
","Injection, trigger points, ligament or tendon sheaths","Injection, trigger points, ligament or tendon sheaths",1552,Administration of agent into other musculoskeletal sites,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,part of main service and / or follow ups,
Admitted,477260010,47726-00-10,"Procure bone for graft via sep incision, dental or oral mxfacial",Procurement of bone for graft via separate incision for dental or oral maxillofacial procedures,1563,Other excision procedures on bone of other musculoskeletal sites,15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,1500,
Admitted,450180210,45018-02-10,"Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, ears; 25 cc or less injectate","Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, ears; 25 cc or less injectate",1668,Dermofat or fat graft,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,2000,
Admitted,450180220,45018-02-20,"Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, ears; each additional 25 cc or lesser","Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, ears; each additional 25 cc or lesser",1668,Dermofat or fat graft,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,2000,
Admitted,906690030,90669-00-30,"Harvesting of skin graft, any site (except excision or liposuction, any method)","Harvesting of skin graft, any site (except excision or liposuction, any method)",1660,Other procedures on skin and subcutaneous tissue,16,Dermatological and plastic procedures ,Oral and maxillofacial surgery ,2000,
Non-admitted,458410000,45841-00-00,Alveolar ridge augmentation by bone graft or allograft,Alveolar ridge augmentation by bone graft or allograft,1371,"Repair procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,8000,
Admitted/non-admitted ,458430000,45843-00-00,Alv ridge aug by ins tissue expander,Alveolar ridge augmentation by insertion of tissue expander,1371,"Repair procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,6000,
Admitted,458430010,45843-00-10,"Mandibular implant, other than alveolar ridge","Mandibular implant, other than alveolar ridge",1371,"Repair procedures on maxilla, mandible or temporomandibular joint",15,Procedures on musculoskeletal system ,Oral and maxillofacial surgery ,7000,
Admitted/non-admitted ,901640010,90164-00-10,Emergency tracheotomy,Emergency tracheotomy,522,Incision procedures on larynx,7,Procedures on respiratory system ,Oral and maxillofacial surgery ,1000,
Non-admitted,973990000,97399-00-00,Cntl postop haem fol dental procedure,Control of postoperative haemorrhage following dental procedure; per visit,461,Other dental surgical procedure,6,Dental services ,Oral and maxillofacial surgery ,200,
Non-admitted,979860000,97986-00-00,"Postoperative dental care, NEC","Postoperative dental care, not elsewhere classified",490,Miscellaneous dental services,6,Dental services ,Oral and maxillofacial surgery ,80,
Admitted/non-admitted ,901430000,90143-00-00,Other procedures on mouth,Other procedures on mouth,408,"Other procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,2000,
Admitted/non-admitted ,901430100,90143-01-00,Other procedures on palate,Other procedures on palate,408,"Other procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,1000,
Admitted/non-admitted ,901430200,90143-02-00,Other procedures on uvula,Other procedures on uvula,408,"Other procedures on mouth, palate or uvula",5,"Procedures on nose, mouth and pharynx ",Oral and maxillofacial surgery ,1000,
Admitted/non-admitted ,973990010,97399-00-10,Other and unsp Oral Surgery procedure,Other and unspecified Oral Surgery procedure,461,Other dental surgical procedure,6,Dental services ,Oral and maxillofacial surgery ,1000,
Non-admitted,970110020,97011-00-20,Comprehensive orthodontic exam Treatment,Comprehensive oral examination for orthodontic treatment,450,Dental examination,6,Dental services ,Orthodontics ,500,
Non-admitted,978810010,97881-00-10,Limited orthodontic treatment of the transitional dentition,Limited orthodontic treatment of the transitional dentition,483,Other orthodontic service,6,Dental services ,Orthodontics ,3000,
Non-admitted,978810020,97881-00-20,Limited orthodontic treatment of the adolescent dentition,Limited orthodontic treatment of the adolescent dentition,483,Other orthodontic service,6,Dental services ,Orthodontics ,3000,
Non-admitted,979670000,97967-00-00,Pantographic tracing,Pantographic tracing,489,Occlusal therapy,6,Dental services ,Orthodontics ,600,
Non-admitted,975260010,97526-00-10,Smile analysis,Smile analysis,469,Other restorative dental service,6,Dental services ,Orthodontics ,150,
Non-admitted,979820000,97982-00-00,Enamel stripping of tooth,Enamel stripping of tooth,490,Miscellaneous dental services,6,Dental services ,Orthodontics ,200,
Non-admitted,979610000,97961-00-00,Minor occlusal adjustment,Minor occlusal adjustment,489,Occlusal therapy,6,Dental services ,Orthodontics ,300,
Non-admitted,979680000,97968-00-00,Occlusal adjust foll occlusal analysis,Occlusal adjustment following occlusal analysis,489,Occlusal therapy,6,Dental services ,Orthodontics ,500,
Non-admitted,978290000,97829-00-00,"Partial banding, per arch","Partial banding, per arch",480,Fixed orthodontic appliance,6,Dental services ,Orthodontics ,500,
Non-admitted,978310000,97831-00-00,"Full arch banding, per arch",Full arch banding; per arch,480,Fixed orthodontic appliance,6,Dental services ,Orthodontics ,15000,
Non-admitted,978420000,97842-00-00,Prt banding for intermaxillary elastics,Partial banding for intermaxillary elastics,480,Fixed orthodontic appliance,6,Dental services ,Orthodontics ,1000,
Non-admitted,978620000,97862-00-00,"Bonding atchmt, applicn orthdntc force",Bonding of attachment for application of orthodontic force,482,Orthodontic attachment,6,Dental services ,Orthodontics ,300,
Non-admitted,978110000,97811-00-00,Passive removable aplnce max arch,"Delivery of passive removable appliance, maxillary arch",479,Removable orthodontic appliance,6,Dental services ,Orthodontics ,1000,
Non-admitted,978120100,97812-01-00,Passive removal aplnce mandib arch,"Delivery of passive removable appliance, mandibular arch",479,Removable orthodontic appliance,6,Dental services ,Orthodontics ,1000,
Non-admitted,978210000,97821-00-00,Active removable aplnce max arch,"Delivery of active removable appliance, maxillary arch",479,Removable orthodontic appliance,6,Dental services ,Orthodontics ,1000,
Non-admitted,978220100,97822-01-00,Active removal aplnce mandib arch,"Delivery of active removable appliance, mandibular arch",479,Removable orthodontic appliance,6,Dental services ,Orthodontics ,4000,
Non-admitted,978230000,97823-00-00,Functional orthopaedic appliance; excluding prefabricated,Delivery of functional orthopaedic appliance; excluding prefabricated,479,Removable orthodontic appliance,6,Dental services ,Orthodontics ,3000,
Non-admitted,978230010,97823-00-10,"Functional orthopaedic appliance, prefabricated",Delivery of functional orthopaedic appliance; prefabricated,479,Removable orthodontic appliance,6,Dental services ,Orthodontics ,3000,
Non-admitted,978250000,97825-00-00,"Sequential plastic aligners, per arch",Delivery of sequential plastic aligners; per arch,479,Removable orthodontic appliance,6,Dental services ,Orthodontics ,15000,
Non-admitted,978430000,97843-00-00,Maxillary expansion appliance,Delivery of maxillary expansion appliance,480,Fixed orthodontic appliance,6,Dental services ,Orthodontics ,3000,
Non-admitted,978450000,97845-00-00,Passive fixed appliance,Delivery of passive fixed appliance,480,Fixed orthodontic appliance,6,Dental services ,Orthodontics ,5000,
Non-admitted,978460100,97846-01-00,Fixed minor tooth guidance,Delivery of fixed minor tooth guidance,480,Fixed orthodontic appliance,6,Dental services ,Orthodontics ,200,
Non-admitted,978510000,97851-00-00,Extraoral appliance,Delivery of extraoral appliance,481,Extraoral appliance,6,Dental services ,Orthodontics ,1500,
Non-admitted,971510010,97151-00-10,Removable habit breaking appliance,Removable habit breaking appliance,455,Other preventative dental service,6,Dental services ,Orthodontics ,2000,
Non-admitted,978410000,97841-00-00,Insertion of fixed palatal or lingual arch appliance,Insertion of fixed palatal or lingual arch appliance,480,Fixed orthodontic appliance,6,Dental services ,Orthodontics ,1000,
Non-admitted,978460110,97846-01-10,"Surgical placement, temporary anchorage Device without Surgical Flap","Surgical placement, temporary anchorage device without Surgical Flap",480,Fixed orthodontic appliance,6,Dental services ,Orthodontics ,2000,
Non-admitted,978770100,97877-01-00,Add clasp/spring/tooth to remv aplnce,"Addition of clasp, spring or tooth to removable appliance",483,Other orthodontic service,6,Dental services ,Orthodontics ,300,
Non-admitted,978710000,97871-00-00,Adjustment of orthodontic appliance,Adjustment of fixed or removable orthodontic appliance,483,Other orthodontic service,6,Dental services ,Orthodontics ,300,
Non-admitted,975740100,97574-01-00,Cementation of metal band to tooth; per tooth,Cementation of metal band to tooth; per tooth,469,Other restorative dental service,6,Dental services ,Orthodontics ,1500,
Non-admitted,978710030,97871-00-30,Repair of Fixed retainers,Repair of Fixed retainers,483,Other orthodontic service,6,Dental services ,Orthodontics ,500,
Non-admitted,978730010,97873-00-10,Repair of passive appliance; fixed,Repair of passive appliance; fixed,483,Other orthodontic service,6,Dental services ,Orthodontics ,400,
Non-admitted,978750000,97875-00-00,"Repair removable appliance, resin base","Repair of removable appliance, resin base",483,Other orthodontic service,6,Dental services ,Orthodontics ,500,
Non-admitted,978760000,97876-00-00,Repair clasp/spring/tooth remv aplnce,"Repair of clasp, spring or tooth on removable appliance",483,Other orthodontic service,6,Dental services ,Orthodontics ,300,
Non-admitted,978710010,97871-00-10,Repair of Fixed orthodontic appliance,Repair of fixed orthodontic appliance,483,Other orthodontic service,6,Dental services ,Orthodontics ,800,
Non-admitted,978730020,97873-00-20,Replace lost or broken Ortho Appliance,Replacement of lost or broken orthodontic appliance,483,Other orthodontic service,6,Dental services ,Orthodontics ,800,
Non-admitted,978710020,97871-00-20,Rebond of fixed retainer,Rebond of fixed retainer,483,Other orthodontic service,6,Dental services ,Orthodontics ,700,
Non-admitted,978720010,97872-00-10,Reattachment of passive appliance; fixed,Reattachment of passive appliance; Fixed,483,Other orthodontic service,6,Dental services ,Orthodontics ,150,
Non-admitted,978780000,97878-00-00,"Relining removable appliance, processed","Relining of removable appliance, processed",483,Other orthodontic service,6,Dental services ,Orthodontics ,300,
Non-admitted,978330010,97833-00-10,Removal of banding ; per arch,Removal of banding; per arch,480,Fixed orthodontic appliance,6,Dental services ,Orthodontics ,300,
Non-admitted,978740010,97874-00-10,Removal of passive appliance; fixed,Removal of passive appliance; Fixed,483,Other orthodontic service,6,Dental services ,Orthodontics ,300,
Non-admitted,978710060,97871-00-60,Removal of fixed orthodontic appliances; incomplete tx,Removal of fixed orthodontic appliances; incomplete treatment,483,Other orthodontic service,6,Dental services ,Orthodontics ,500,
Non-admitted,978790010,97879-00-10,Other and Unspecified Orthodontic procedure,Other and Unspecified Orthodontic procedure,483,Other orthodontic service,6,Dental services ,Orthodontics ,500,
Non-admitted,979110000,97911-00-00,Emergency palliative treatment ,Emergency palliative treatment ,484,Dental emergency,6,Dental services ,Adjunctive general services,400,
Non-admitted,979160010,97916-00-10,Dentist home visit,Dentist providing services at patient's home,490,Miscellaneous dental services,6,Dental services ,Adjunctive general services,1000,
Non-admitted,979440010,97944-00-10,Relaxation therapy,Relaxation therapy for facial muscles including TMJ (Temporomandibular joint),490,Miscellaneous dental services,6,Dental services ,Adjunctive general services,700,
Non-admitted,979450010,97945-00-10,Low level laser therapy; per appointment,Low level laser therapy by dentist; per appointment,490,Miscellaneous dental services,6,Dental services ,Adjunctive general services,400,
Non-admitted,979480010,97948-00-10,Dental acupuncture; per appointment,Dental acupuncture; per appointment,490,Miscellaneous dental services,6,Dental services ,Adjunctive general services,1000,
Non-admitted,979710000,97971-00-00,Adjunctive dental physical therapy for TMJ & associated structures,Adjunctive dental physical therapy for temporomandibular joint and associated structures,489,Occlusal therapy,6,Dental services ,Adjunctive general services,500,
